Model,F-MSE,F-RMSE,F-L1,S-MSE,S-RMSE,S-L1,T-MSE,T-RMSE,T-L1,A-MSE,A-RMSE,A-L1,Full-MSE,Full-RMSE,Full-L1
wise-firebrand-23,64.70408016519343,8.04388464395117,1.4919090085120226,94.4763075282298,9.719892361967275,2.0031787125043445,78.21156926667946,8.843730506221878,2.4186418279109585,104.06499568681791,10.20122520518089,2.891662597158351,81.10632369828953,9.005904935001785,2.0925556849317837
amber-waterfall-25,66.61538017283334,8.161824561507883,1.738058288525561,95.86309229639338,9.790969936446203,2.1000983841529166,75.4967579370314,8.688887036728662,2.424439999837904,105.88572754416248,10.29007908347465,2.9775930897709206,81.19856428822257,9.011024597026832,2.197541453552067
smooth-galaxy-20,65.3696353916272,8.085149064279966,1.4375235295639468,96.40852962578627,9.818784528941771,1.9312173535137227,75.88419036937604,8.711153216961348,2.3856551209972507,104.70786943256793,10.232686325328649,3.0399396774520024,81.0208999562198,9.001161033790018,2.0602603323412922
hopeful-rain-21,68.08899026651072,8.251605314513698,1.8322759004931204,98.70848269460559,9.935214275223538,2.2368246484666416,79.2037239727324,8.899647407214086,2.472921524478626,106.46156708905853,10.318021471631978,2.9705286154357116,83.75648581098845,9.151856959709786,2.276922605870087
faithful-elevator-27,63.60504810320667,7.975277305724652,1.4604480583265629,93.47974724871084,9.668492501352567,1.955672761069705,75.92590578931967,8.713547256388736,2.5382276916949844,105.65480604324524,10.2788523699509,3.113448703920508,79.85700533445184,8.936274689961799,2.135198981204895
twilight-bush-24,67.49548025676134,8.21556329515885,2.3037685564798065,98.84693178563755,9.942179428356619,2.7212403444298006,81.60415587351997,9.033501861045913,3.4654332528913323,108.86070506779771,10.433633358892658,4.079560208770694,84.71824824491138,9.204251639590879,2.9998904642955044
feasible-valley-22,65.26000868831537,8.07836670920028,1.734905004012867,95.01396660061972,9.747510789971956,2.1655495370451656,76.16350834696686,8.72717069541824,2.842316435631603,104.1072213489711,10.20329463207699,3.3289191416966197,80.66786276888594,8.98152897723355,2.397855410806216
rare-sun-17,65.54388469006088,8.095917779354041,1.516679302502956,93.71196055151874,9.680493817544574,2.040896581188306,77.68462205409058,8.813888021417709,2.6094202978321848,106.24010165448198,10.307283912577647,3.117033917391748,81.15497574460814,9.008605649300458,2.1995374376167898
