Model,F-MSE,F-RMSE,F-L1,S-MSE,S-RMSE,S-L1,T-MSE,T-RMSE,T-L1,A-MSE,A-RMSE,A-L1,Full-MSE,Full-RMSE,Full-L1
restful-meadow-13,83.90891152633505,9.160180758387634,2.9093320976256267,121.0625192575025,11.0028414174477,3.40090273316387,113.20619087935562,10.639839795756119,4.3162264239380645,154.94911788837442,12.44785595547982,5.063180880410346,110.92843202454799,10.532256739395788,3.7490135997434857
fast-hill-18,75.45279915806313,8.686357070605785,2.237416700708647,117.20322204780513,10.826043693233698,2.9295327199286696,106.49024842294051,10.319411244007117,3.7952673876076477,146.56670643944503,12.106473740914199,4.722897540148502,104.31776466776626,10.213606839298556,3.2154927111841363
cosmic-water-19,83.15988147708502,9.119203993610682,2.5497092097865934,123.91617426238048,11.131764202604208,3.214887037567573,111.03677089405818,10.537398677759999,4.056568512049076,147.4449132315446,12.14268970333775,4.808248949090338,109.98113281347804,10.487188985303833,3.4810111029290445
clear-haze-11,77.59563965363273,8.808838723329695,2.5725592957982912,118.82969233414394,10.900903280652662,3.1983396880417407,108.67385484451894,10.424675287246071,3.9712807774027064,153.01342172973844,12.369859406223599,4.914776613707108,106.74250827660589,10.331626603618904,3.4622341509300596
dauntless-surf-15,79.80493522720177,8.93336080247528,2.447244542472205,117.37936045922974,10.834175578198359,3.131325489747346,109.00732525285498,10.440657319003195,3.995787521745942,153.48536598468183,12.388921098492872,4.9039174764182025,107.14809306436096,10.351236306082523,3.4171437881710376
icy-gorge-12,75.93295741173846,8.71395188256961,2.3117307503778273,116.03437557732067,10.77192534217169,2.9811681520667923,109.01137348119762,10.44085118566478,3.8670506626720362,150.1064310319153,12.251792972129234,4.714478182065175,105.38850084540063,10.26589016332245,3.275178027371394
gentle-thunder-16,81.82567040995603,9.045754275346862,2.6614931952876724,118.27118190796119,10.875255487020118,3.330641206231997,115.309349805877,10.738219117054607,4.250351514643108,156.44024199420898,12.507607364888337,5.135896956944912,110.5072066122862,10.512240798815741,3.6437001650192804
noble-dust-14,87.58147555321248,9.358497505113334,2.5525183375895177,124.940804113275,11.177692253469631,3.339222791692402,124.82025631461643,11.172298613741777,4.248997095375986,182.62355803068056,13.513828400223252,5.382393751943785,119.77393558219923,10.944127904141071,3.6378503037693752
